walmart_fiscal_year,fiscal_year_end_year,segment,net_sales_millions_usd,net_sales_billions_usd,yoy_change_percent,sales_basis,source_url,notes
FY1991,1991,Sam's Club U.S.,6600,6.6,,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/_assets/_5bb4b0137bcb7c329b4b74e982c643dd/walmart/db/950/9618/annual_report/1991-annual-report-for-walmart-stores-inc_130199433717905777.pdf,Rounded in source as $6.6 billion.
FY1992,1992,Sam's Club U.S.,9430,9.43,42.88,"Net sales / segment sales, including fuel where applicable",https://www.scribd.com/document/639856979/WalMart-Case-Exhibits,Historical annual-report-derived table; verify against scanned annual report if exact audit is needed.
FY1993,1993,Sam's Club U.S.,12339,12.339,30.85,"Net sales / segment sales, including fuel where applicable",https://corporate.walmart.com/about/samsclub/sams-club-history/timeline,"Walmart timeline gives rounded $12.3 billion; historical table gives $12,339 million."
FY1994,1994,Sam's Club U.S.,14749,14.749,19.53,"Net sales / segment sales, including fuel where applicable",https://www.scribd.com/document/639856979/WalMart-Case-Exhibits,Historical annual-report-derived table; verify against scanned annual report if exact audit is needed.
FY1995,1995,Sam's Club U.S.,18908,18.908,28.2,"Net sales / segment sales, including fuel where applicable",https://www.scribd.com/document/639856979/WalMart-Case-Exhibits,Historical annual-report-derived table; verify against scanned annual report if exact audit is needed.
FY1996,1996,Sam's Club U.S.,19068,19.068,0.85,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/0000104169-98-000003.txt,Official SEC filing segment sales table.
FY1997,1997,Sam's Club U.S.,19785,19.785,3.76,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/0000104169-98-000003.txt,Official SEC filing segment sales table.
FY1998,1998,Sam's Club U.S.,20668,20.668,4.46,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/0000104169-98-000003.txt,Official SEC filing segment sales table.
FY1999,1999,Sam's Club U.S.,22881,22.881,10.71,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-99-000002/0000104169-99-000002.pdf,Official annual report/SEC filing.
FY2000,2000,Sam's Club U.S.,24801,24.801,8.39,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/sec-filings/all-sec-filings/content/0001021408-01-500157/d10ka.htm,Official SEC filing segment sales table.
FY2001,2001,Sam's Club U.S.,26798,26.798,8.05,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/sec-filings/all-sec-filings/content/0001021408-01-500157/d10ka.htm,Official SEC filing segment sales table.
FY2002,2002,Sam's Club U.S.,29395,29.395,9.69,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/_assets/_bb6ff4a01eee313960e0ea30589b6403/walmart/db/951/9660/file/2002-financials-for-walmart-stores-inc_130202939945612113.pdf,Official Walmart financials.
FY2003,2003,Sam's Club U.S.,31702,31.702,7.85,"Net sales / segment sales, including fuel where applicable",https://media.corporate-ir.net/media_files/irol/11/112761/ARs/annualreport_2004.pdf,Official Walmart annual report.
FY2004,2004,Sam's Club U.S.,34537,34.537,8.94,"Net sales / segment sales, including fuel where applicable",https://media.corporate-ir.net/media_files/irol/11/112761/ARs/annualreport_2004.pdf,Official Walmart annual report.
FY2005,2005,Sam's Club U.S.,37119,37.119,7.48,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000119312506066792/dex13.htm,Official SEC filing segment sales table.
FY2006,2006,Sam's Club U.S.,39798,39.798,7.22,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000119312506066792/dex13.htm,Official SEC filing segment sales table.
FY2007,2007,Sam's Club U.S.,41582,41.582,4.48,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/_assets/_5500d13880a33163cfa9b7875715a1fe/walmart/db/950/9635/annual_report/2008-annual-report-for-walmart-stores-inc_130221019979211599.pdf,Official Walmart annual report.
FY2008,2008,Sam's Club U.S.,44357,44.357,6.67,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/_assets/_5500d13880a33163cfa9b7875715a1fe/walmart/db/950/9635/annual_report/2008-annual-report-for-walmart-stores-inc_130221019979211599.pdf,Official Walmart annual report.
FY2009,2009,Sam's Club U.S.,46854,46.854,5.63,"Net sales / segment sales, including fuel where applicable",https://media.corporate-ir.net/media_files/irol/11/112761/ARs/2009_Annual_Report.pdf,Official report states approximately $46.9 billion; exact million value taken from annual-report-derived table.
FY2010,2010,Sam's Club U.S.,47806,47.806,2.03,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/sec-filings/all-sec-filings/content/0001193125-12-134679/0001193125-12-134679.pdf,Official Walmart annual report.
FY2011,2011,Sam's Club U.S.,49459,49.459,3.46,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/sec-filings/all-sec-filings/content/0001193125-12-134679/0001193125-12-134679.pdf,Official Walmart annual report.
FY2012,2012,Sam's Club U.S.,53795,53.795,8.77,"Net sales / segment sales, including fuel where applicable",https://stock.walmart.com/sec-filings/all-sec-filings/content/0001193125-12-134679/0001193125-12-134679.pdf,Official Walmart annual report.
FY2013,2013,Sam's Club U.S.,56423,56.423,4.89,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/wmt13114ars.htm,Official SEC filing segment sales table.
FY2014,2014,Sam's Club U.S.,57157,57.157,1.3,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/wmt13114ars.htm,Official SEC filing segment sales table.
FY2015,2015,Sam's Club U.S.,58020,58.02,1.51,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/wmtform10-kx1312016.htm,Official SEC filing segment sales table.
FY2016,2016,Sam's Club U.S.,56828,56.828,-2.05,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/wmtform10-kx1312016.htm,Official SEC filing segment sales table.
FY2017,2017,Sam's Club U.S.,57365,57.365,0.94,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/wmtform10-kx1312018.htm,Official SEC filing segment sales table.
FY2018,2018,Sam's Club U.S.,59216,59.216,3.23,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/wmtform10-kx1312018.htm,Official SEC filing segment sales table.
FY2019,2019,Sam's Club U.S.,57839,57.839,-2.33,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020.htm,Official SEC filing segment sales table.
FY2020,2020,Sam's Club U.S.,58792,58.792,1.65,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020.htm,Official SEC filing segment sales table.
FY2021,2021,Sam's Club U.S.,63910,63.91,8.71,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/R34.htm,Official SEC filing segment sales table.
FY2022,2022,Sam's Club U.S.,73556,73.556,15.09,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,Official SEC filing; value also shown in FY2024 10-K comparative table.
FY2023,2023,Sam's Club U.S.,84345,84.345,14.67,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,Official SEC filing; value also shown in FY2024 10-K comparative table.
FY2024,2024,Sam's Club U.S.,86179,86.179,2.17,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,Official SEC filing segment sales table.
FY2025,2025,Sam's Club U.S.,90238,90.238,4.71,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,Official SEC filing; FY2026 10-K comparative table.
FY2026,2026,Sam's Club U.S.,93015,93.015,3.08,"Net sales / segment sales, including fuel where applicable",https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,Official SEC filing segment sales table; current annual fiscal year available as of April 2026.
