walmart_fiscal_year,fiscal_year_end_year,segment,net_sales_millions_usd,net_sales_billions_usd,yoy_change_percent,sales_basis,source_url,notes
FY1991,1991,Walmart U.S. / Wal-Mart Stores,,,,Not available - comparable segment figure not verified,https://stock.walmart.com/financial-information/annual-reports,Blank on purpose. Do not mix consolidated Walmart total company sales with Walmart U.S. segment sales.
FY1992,1992,Walmart U.S. / Wal-Mart Stores,,,,Not available - comparable segment figure not verified,https://stock.walmart.com/financial-information/annual-reports,Blank on purpose. Do not mix consolidated Walmart total company sales with Walmart U.S. segment sales.
FY1993,1993,Walmart U.S. / Wal-Mart Stores,,,,Not available - comparable segment figure not verified,https://stock.walmart.com/financial-information/annual-reports,Blank on purpose. Do not mix consolidated Walmart total company sales with Walmart U.S. segment sales.
FY1994,1994,Walmart U.S. / Wal-Mart Stores,,,,Not available - comparable segment figure not verified,https://stock.walmart.com/financial-information/annual-reports,Blank on purpose. Do not mix consolidated Walmart total company sales with Walmart U.S. segment sales.
FY1995,1995,Walmart U.S. / Wal-Mart Stores,,,,Not available - comparable segment figure not verified,https://stock.walmart.com/financial-information/annual-reports,Blank on purpose. Do not mix consolidated Walmart total company sales with Walmart U.S. segment sales.
FY1996,1996,Walmart U.S.,66271,66.271,,Wal-Mart Stores segment net sales,https://stock.walmart.com/_assets/_b1e9779c1c667e0dd3695b266489289e/walmart/db/950/9625/annual_report/1998-annual-report-for-walmart-stores-inc_130199459510258743.pdf,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY1997,1997,Walmart U.S.,74840,74.840,12.93,Wal-Mart Stores segment net sales,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-99-000002/0000104169-99-000002.pdf,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY1998,1998,Walmart U.S.,83820,83.820,12.00,Wal-Mart Stores segment net sales,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-99-000002/0000104169-99-000002.pdf,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY1999,1999,Walmart U.S.,95395,95.395,13.81,Wal-Mart Stores segment net sales,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-99-000002/0000104169-99-000002.pdf,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
FY2000,2000,Walmart U.S.,108721,108.721,13.97,Wal-Mart Stores segment net sales,https://www.sec.gov/Archives/edgar/data/104169/000102140801500118/d10k.htm,Amounts are in millions of U.S. dollars. Segment name was reported as Wal-Mart Stores in older annual reports.
